word,PERSON,LOC,cosine similarity
sinclair,PERSON,LOC,-0.17159673646810147
spots,PERSON,LOC,0.36697504322041996
guarantees,PERSON,LOC,0.0053393825444088844
guessed,PERSON,LOC,0.30125527492618487
around,PERSON,LOC,0.17427391316353164
lady,PERSON,LOC,0.29148374803194965
lying,PERSON,LOC,0.5125747478388794
scythe,PERSON,LOC,-0.315357413288123
detectives,PERSON,LOC,-0.24496155306260145
remaining,PERSON,LOC,-0.3187551981779166
statjon,PERSON,LOC,0.1105127747508416
favorite,PERSON,LOC,0.3994158230601581
city,PERSON,LOC,0.10555480633771025
carmine,PERSON,LOC,-0.16412338580582478
calght,PERSON,LOC,0.27960106132987084
decade,PERSON,LOC,0.4124624118228654
restalrant,PERSON,LOC,-0.07306005936178876
involved,PERSON,LOC,0.19509875896820283
clover,PERSON,LOC,0.03917929404513969
tavern,PERSON,LOC,-0.22296483891415428
following,PERSON,LOC,-0.056118700878270665
also,PERSON,LOC,0.24656817301144104
dikan,PERSON,LOC,0.0684371693630585
sorry,PERSON,LOC,-0.062179031516128434
officially,PERSON,LOC,-0.3113367350879027
ibrightest,PERSON,LOC,-0.13614252826372153
mention,PERSON,LOC,-0.03217690409560437
sake,PERSON,LOC,0.15513995626271812
almost,PERSON,LOC,0.050846700173509354
late,PERSON,LOC,0.04860592150487422
district,PERSON,LOC,-0.125488905130477
bombing,PERSON,LOC,-0.12253998876932352
rrain,PERSON,LOC,0.17280153539582258
thecompanied,PERSON,LOC,0.039293497180318056
need,PERSON,LOC,-0.022876457168359753
admitted,PERSON,LOC,0.020252928938041308
relief,PERSON,LOC,0.034717175790025756
terrible,PERSON,LOC,-0.1233638776662988
welcome,PERSON,LOC,-0.2788725754715126
survival,PERSON,LOC,0.05500552849756333
picture,PERSON,LOC,-0.09303070757867456
known,PERSON,LOC,0.1750746668214343
else,PERSON,LOC,-0.02876964367726319
abolt,PERSON,LOC,-0.24291045918684656
second,PERSON,LOC,0.05694284639482643
delaney,PERSON,LOC,0.25859312202478324
bomber,PERSON,LOC,0.35361000799541276
rich,PERSON,LOC,0.3199870535206442
interrogation,PERSON,LOC,0.2282011816692427
basically,PERSON,LOC,0.2952657069014518
later,PERSON,LOC,-0.2343654546232006
march,PERSON,LOC,-0.2784882691621243
tower,PERSON,LOC,0.23043080357867204
wanted,PERSON,LOC,0.05439703746666748
police,PERSON,LOC,-0.5707414371588199
trista,PERSON,LOC,-0.05063837776021767
aevasty,PERSON,LOC,0.034485310272529344
show,PERSON,LOC,-0.46157091865142774
attack,PERSON,LOC,0.06217238812956813
this,PERSON,LOC,0.06887717848438824
nobody,PERSON,LOC,-0.07575256237721595
responsibility,PERSON,LOC,-0.021699205945003002
during,PERSON,LOC,0.08454406927434653
apparently,PERSON,LOC,-0.6052602200815604
arrest,PERSON,LOC,-0.16374344666101176
chief,PERSON,LOC,0.08015997971499222
running,PERSON,LOC,-0.4375066111024089
started,PERSON,LOC,0.17512016989888052
victim,PERSON,LOC,0.46096638313362837
tomorrow,PERSON,LOC,0.059000371399486086
really,PERSON,LOC,-0.1299984660923269
chance,PERSON,LOC,0.156072538622542
train,PERSON,LOC,-0.13176510531556776
shut,PERSON,LOC,-0.12583860192522647
woman,PERSON,LOC,0.33862346282750955
ardent,PERSON,LOC,0.5079908776848711
which,PERSON,LOC,-0.14719235362007232
shocked,PERSON,LOC,-0.21496907938533383
help,PERSON,LOC,0.06413250064221557
everyone,PERSON,LOC,0.0008397848221609462
golden,PERSON,LOC,0.4011757958372269
organized,PERSON,LOC,0.22355257294190448
friday,PERSON,LOC,0.20137502894716042
homeless,PERSON,LOC,-0.04636975912433397
richest,PERSON,LOC,-0.005787136146373534
terrorism,PERSON,LOC,-0.02791655884520768
sinclhir,PERSON,LOC,-0.03193895701817195
kings,PERSON,LOC,0.52914686123577
epicenter,PERSON,LOC,0.14148715201270887
kidnapped,PERSON,LOC,0.0756626089825432
date,PERSON,LOC,0.17893493859367196
16.45,PERSON,LOC,-0.20949996076733585
under,PERSON,LOC,0.34215161393673327
phantom,PERSON,LOC,0.28372134121072246
band,PERSON,LOC,0.04640537344001383
early,PERSON,LOC,0.25447834584939305
leave,PERSON,LOC,0.19894006336609374
anslow,PERSON,LOC,-0.5863682149789194
heard,PERSON,LOC,0.20307513395795368
goblin,PERSON,LOC,-0.19142664509018306
meeting,PERSON,LOC,0.5034511241293634
front,PERSON,LOC,0.21080764400411905
still,PERSON,LOC,0.23199550415726772
ardhalis,PERSON,LOC,-0.04592102006118499
death,PERSON,LOC,0.523521535132152
harvey,PERSON,LOC,0.05876194127075689
held,PERSON,LOC,-0.22526123472507123
down,PERSON,LOC,-0.010476825219077564
someone,PERSON,LOC,-0.06079141429613777
company,PERSON,LOC,0.027020985917800333
sandman,PERSON,LOC,-0.02608336304803124
year,PERSON,LOC,-0.2849155514867885
hang,PERSON,LOC,0.4539218371788924
investigating,PERSON,LOC,-0.18145787536689778
keep,PERSON,LOC,-0.1544886411147714
years,PERSON,LOC,-0.2859967216953848
involvement,PERSON,LOC,0.00878331950087114
redcliff,PERSON,LOC,0.18949367797683642
underground,PERSON,LOC,-0.26608126675958327
member,PERSON,LOC,-0.093230108767183
where,PERSON,LOC,-0.17100917211268302
another,PERSON,LOC,0.4018667643677159
nitroglycerine,PERSON,LOC,0.3704064228386338
should,PERSON,LOC,0.08699679244347114
precinct,PERSON,LOC,-0.26223755317084874
thirteen,PERSON,LOC,0.5538344853590444
station,PERSON,LOC,0.0488404415774789
circus,PERSON,LOC,-0.20026644039918318
